"X","conc","rate","state","err"
"1",1,0.02,76,"treated",6
"2",2,0.02,47,"treated",7
"3",3,0.06,97,"treated",8
"4",4,0.06,107,"treated",5
"5",5,0.11,123,"treated",15
"6",6,0.11,139,"treated",24
"7",7,0.22,159,"treated",6
"8",8,0.22,152,"treated",9
"9",9,0.56,191,"treated",32
"10",10,0.56,201,"treated",9
"11",11,1.1,207,"treated",12
"12",12,1.1,200,"treated",11
"13",13,0.02,67,"untreated",10
"14",14,0.02,51,"untreated",4
"15",15,0.06,84,"untreated",2
"16",16,0.06,86,"untreated",9
"17",17,0.11,98,"untreated",15
"18",18,0.11,115,"untreated",16
"19",19,0.22,131,"untreated",5
"20",20,0.22,124,"untreated",7
"21",21,0.56,144,"untreated",8
"22",22,0.56,158,"untreated",9
"23",23,1.1,160,"untreated",5
